fare_id,route_id,origin_id,destination_id,contains_id
1,8163,,,
1,8172,,,
1,1196_merged_5547549,,,
1,1094_merged_5547532,,,
1,1108,,,
1,8195,,,
1,8185,,,
1,8546,,,
1,8198,,,
1,8537,,,
1,8183,,,
1,8528,,,
1,8534,,,
1,8179,,,
1,1029_merged_5547537,,,
1,8164,,,
1,1109,,,
1,1002,,,
1,8150,,,
1,8512,,,
1,1032,,,
1,1103,,,
1,1081,,,
1,8182,,,
1,1093_merged_5547544,,,
1,8193,,,
1,8531,,,
1,1901,,,
1,8553,,,
1,8205,,,
1,8541,,,
1,1029_merged_5547546,,,
1,1080,,,
1,8152,,,
1,8518,,,
1,1028_merged_5547547,,,
1,8174,,,
1,1114_merged_5547534,,,
1,1106,,,
1,1115,,,
1,1038,,,
1,8519,,,
1,8525,,,
1,8550,,,
1,8513,,,
1,1033,,,
1,1039,,,
1,1110,,,
1,8161,,,
1,1101,,,
1,8158,,,
1,8642,,,
1,8191,,,
1,1102,,,
1,1094_merged_5547541,,,
1,8533,,,
1,8187,,,
1,8540,,,
1,1197,,,
1,8551,,,
1,8536,,,
1,8160,,,
1,8529,,,
1,8159,,,
1,8175,,,
1,8213,,,
1,1114_merged_5547543,,,
1,8516,,,
1,8505,,,
1,8165,,,
1,8186,,,
1,1010,,,
1,1030,,,
1,1028_merged_5547538,,,
1,8522,,,
1,8564,,,
1,8196,,,
1,1045,,,
1,8212,,,
1,8567,,,
1,8173,,,
1,8209,,,
1,1031,,,
1,8170,,,
1,8167,,,
1,8176,,,
1,1034,,,
1,1104,,,
1,1900_merged_5547542,,,
1,8181,,,
1,8542,,,
1,1199,,,
1,8287,,,
1,1196_merged_5547540,,,
1,8560,,,
1,8548,,,
1,8521,,,
1,8538,,,
1,8177,,,
1,1105,,,
1,8184,,,
1,1071,,,
1,8197,,,
1,8520,,,
1,1072,,,
1,8535,,,
1,8557,,,
1,1900_merged_5547533,,,
1,8157,,,
1,8532,,,
1,8178,,,
1,8166,,,
1,8514,,,
1,8507,,,
1,1003,,,
1,1093_merged_5547535,,,
1,8180,,,
1,1012,,,
1,1198,,,
1,8568,,,
1,8192,,,
1,8539,,,
1,8530,,,
1,8527,,,
1,8547,,,
1,8552,,,
1,8515,,,
1,1082,,,
1,1006,,,
2,8190,,,
2,8545,,,
2,1059_merged_5547539,,,
2,1060_merged_5547545,,,
2,1059_merged_5547548,,,
2,1060_merged_5547536,,,
